257,-28396.8,-80062.4,-3529.41
258,-28527.8,-79132.5,-3303.34
259,-28683.6,-78213.7,-3087.78
260,-28861.5,-77306.9,-2882.97
261,-29058.7,-76413.1,-2689.13
262,-29272.2,-75532.7,-2506.49
263,-29498.5,-74666.5,-2335.2
264,-29734,-73814.6,-2175.44
265,-29975,-72977.1,-2027.3
266,-30217.6,-72154.2,-1890.88
267,-30457.8,-71345.7,-1766.19
268,-30691.6,-70551.2,-1653.23
269,-30915,-69770.3,-1551.9
270,-31124,-69002.4,-1462.09
271,-31314.8,-68247,-1383.57
272,-31483.8,-67503.4,-1316.08
273,-31627.4,-66770.7,-1259.27
274,-31742.4,-66048.3,-1212.71
275,-31825.8,-65335.2,-1175.91
276,-31875.1,-64630.9,-1148.29
277,-31888.1,-63934.5,-1129.2
278,-31862.7,-63245.4,-1117.93
279,-31797.5,-62562.9,-1113.7
280,-31691.6,-61886.6,-1115.65
281,-31544.1,-61215.9,-1122.9
282,-31355.1,-60550.6,-1134.48
283,-31124.6,-59890.5,-1149.42
284,-30853.3,-59235.3,-1166.69
285,-30542.3,-58585.2,-1185.29
286,-30193.1,-57940,-1204.16
287,-29807.4,-57300,-1222.28
288,-29387.4,-56665.5,-1238.64
289,-28935.4,-56036.7,-1252.24
290,-28454.2,-55414,-1262.13
291,-27946.7,-54797.8,-1267.42
292,-27415.9,-54188.4,-1267.26
293,-26865.1,-53586.4,-1260.87
294,-26297.5,-52992.1,-1247.54
295,-25716.5,-52405.9,-1226.65
296,-25125.3,-51828.1,-1197.64
297,-24527.3,-51259.1,-1160.09
298,-23925.5,-50698.9,-1113.6
299,-23323,-50147.7,-1057.92
300,-22722.7,-49605.4,-992.859
301,-22127.1,-49072,-918.325
302,-21538.7,-48547.1,-834.305
303,-20959.7,-48030.4,-740.869
304,-20391.7,-47521.4,-638.153
305,-19836.4,-47019.3,-526.36
306,-19295,-46523.4,-405.763
307,-18768.4,-46032.9,-276.664
308,-18257.1,-45546.5,-139.416
309,-17761.3,-45063.3,5.61461
310,-17281.1,-44581.8,158.019
311,-16816.1,-44100.8,317.402
312,-16365.5,-43618.8,483.358
313,-15928.6,-43134.3,655.502
314,-15504.2,-42645.8,833.462
315,-15091,-42151.8,1016.89
316,-14687.5,-41650.5,1205.48
317,-14292,-41140.6,1398.96
318,-13902.8,-40620.4,1597.1
319,-13518.1,-40088.4,1799.69
320,-13136,-39543.2,2006.61
321,-12754.7,-38983.5,2217.75
322,-12372.4,-38407.9,2433.06
323,-11987.4,-37815.2,2652.52
324,-11597.9,-37204.5,2876.14
325,-11202.3,-36574.7,3103.97
326,-10799.5,-35924.9,3336.07
327,-10387.9,-35254.6,3572.51
328,-9966.64,-34563,3813.39
329,-9534.8,-33849.8,4058.75
330,-9091.68,-33114.5,4308.69
331,-8636.83,-32357,4563.21
332,-8169.99,-31577.1,4822.32
